transporter	GO_level1	GO_level2	GO_level3	GO_level4	GO_level5	GO_level6	GO_level7	GO_level8	GO_level9	GO_level10	GO_level11	GO_level12	mainrole	sub1role	name
T479	biological_process	localization	establishment of localization	transport	organic substance transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	carbohydrate transport	Cellular processes	Other	nodJ: ABC-2 type transporter, NodJ family
T108	None	None	None	None	None	None	None	None	None	None	None	None	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	LPS_export_lptB: LPS export ABC transporter ATP-binding protein
T711	molecular_function	transporter activity	transmembrane transporter activity	substrate-specific transmembrane transporter activity	amide transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	Transport and binding proteins	Amino acids, peptides and amines	urea_trans_UrtD: urea ABC transporter, ATP-binding protein UrtD
T435	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	3a01203: peroxysomal long chain fatty acyl transporter
T33	biological_process	localization	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	Transport and binding proteins	Anions	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
T779	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	gluP: glucose/galactose transporter WARNING
T29	biological_process	localization	establishment of localization	transport	ion transport	anion transport	organic anion transport	carboxylic acid transport	methionine transport	methionine transport	methionine transport	methionine transport	None	None	ABC_MetN: D-methionine ABC transporter, ATP-binding protein
T562	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	eps_transp_fam: exopolysaccharide transport protein family
T169	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	anch_rpt_ABC: anchored repeat-type ABC transporter, ATP-binding subunit
T67	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Cations and iron carrying compounds	zip: ZIP zinc/iron transport family
T41	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Cations and iron carrying compounds	2a58: sodium-dependent inorganic phosphate (Pi) transporter
T1	biological_process	localization	establishment of localization	transport	single-organism transport	carbohydrate transport	monosaccharide transport	pentose transport	pentose transport	pentose transport	pentose transport	pentose transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	xylG: D-xylose ABC transporter, ATP-binding protein
T132	biological_process	localization	establishment of localization	transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	Transport and binding proteins	Anions	ABC_phnC: phosphonate ABC transporter, ATP-binding protein
T64	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	typeII_sec_gspG: type II secretion system protein G
T978	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	None	None	HrpB2: type III secretion protein HrpB2
T341	biological_process	localization	establishment of localization	transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	2A0120: sugar efflux transporter
T535	molecular_function	catalytic activity	hydrolase activity	hydrolase activity, acting on acid anhydrides	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	pyrophosphatase activity	nucleoside-triphosphatase activity	ATPase activity	ATPase activity, coupled	ATPase activity, coupled to movement of substances	ATPase activity, coupled to movement of substances	ATPase activity, coupled to movement of substances	Transport and binding proteins	Amino acids, peptides and amines	PhnT2: putative 2-aminoethylphosphonate ABC transporter, ATP-binding protein
T194	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	2A0105: oligosaccharide:H+ symporter
T131	molecular_function	transporter activity	transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	active transmembrane transporter activity	Transport and binding proteins	Cations and iron carrying compounds	tonB_Cterm: TonB family C-terminal domain
T969	biological_process	single-organism process	single-organism metabolic process	small molecule metabolic process	organic acid metabolic process	oxoacid metabolic process	carboxylic acid metabolic process	cellular amino acid metabolic process	gamma-aminobutyric acid metabolic process	gamma-aminobutyric acid metabolic process	gamma-aminobutyric acid metabolic process	gamma-aminobutyric acid metabolic process	Transport and binding proteins	Amino acids, peptides and amines	GABAperm: GABA permease
T359	biological_process	localization	establishment of localization	transport	organic substance transport	organic acid transport	amino acid transport	neutral amino acid transport	cysteine transport	cysteine transport	cysteine transport	cysteine transport	None	None	CydC: thiol reductant ABC exporter, CydC subunit
T40	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Cations and iron carrying compounds	cbiN: cobalt transport protein
T395	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	2A0113: monocarboxylate transporter
T125	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	hrcV: type III secretion protein, HrcV family
T834	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	OMP_RagA_SusC: TonB-linked outer membrane protein, SusC/RagA family
T951	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Cations and iron carrying compounds	2a38euk: potassium uptake protein, Trk family
T237	None	None	None	None	None	None	None	None	None	None	None	None	Regulatory functions	Protein interactions	expor_sig_YdyF: exported signaling peptide, YydF/SAG_2028 family
T845	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Cations and iron carrying compounds	P2X: cation transporter protein
T875	None	None	None	None	None	None	None	None	None	None	None	None	Unknown function	General	tadE_like_DECH: helicase/secretion neighborhood TadE-like protein
T2	biological_process	localization	establishment of localization	transport	ion transport	cation transport	cation transport	cation transport	cation transport	cation transport	cation transport	cation transport	Transport and binding proteins	Cations and iron carrying compounds	2a6301s04: multicomponent K+:H+antiporter
T522	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	III_needle: type III secretion apparatus needle protein
T837	molecular_function	catalytic activity	hydrolase activity	hydrolase activity, acting on acid anhydrides	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	pyrophosphatase activity	nucleoside-triphosphatase activity	ATPase activity	ATPase activity, coupled	ATPase activity, coupled to movement of substances	ATPase activity, coupled to movement of substances	ATPase activity, coupled to movement of substances	Transport and binding proteins	Other	devC: ABC exporter transmembrane subunit, DevC protein
T798	biological_process	single-organism process	single-organism cellular process	movement of cell or subcellular component	cell motility	cell motility	cell motility	cell motility	cell motility	cell motility	cell motility	cell motility	Cellular processes	Chemotaxis and motility	FliI_clade1: flagellar protein export ATPase FliI
T49	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Cations and iron carrying compounds	2a38: potassium uptake protein, TrkH family
T88	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	2a75: L-lysine exporter
T900	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	2A0111: oxalate/formate antiporter family transporter
T233	biological_process	localization	establishment of localization	transport	ion transport	cation transport	metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	Transport and binding proteins	Cations and iron carrying compounds	TonB-copper: TonB-dependent copper receptor
T430	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	2A0114: D-galactonate transporter
T21	biological_process	localization	establishment of localization	transport	single-organism transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	Transport and binding proteins	Anions	3a0106s02: sulfate ABC transporter, permease protein
T378	biological_process	localization	establishment of localization	transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	Transport and binding proteins	Anions	2A0108: nitrite transporter
T496	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Cations and iron carrying compounds	ENaC: sodium channel transporter
T809	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	cad: cadmium resistance transporter family protein
T58	biological_process	localization	establishment of localization	transport	ion transport	anion transport	organic anion transport	carboxylic acid transport	dicarboxylic acid transport	dicarboxylic acid transport	dicarboxylic acid transport	dicarboxylic acid transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	dctM: TRAP transporter, DctM subunit
T65	biological_process	localization	establishment of localization	transport	ion transport	cation transport	metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	Transport and binding proteins	Cations and iron carrying compounds	corA: magnesium and cobalt transport protein CorA
T354	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	None	None	VI_chp_6: type VI secretion protein, TIGR03359 family
T17	biological_process	metabolic process	single-organism metabolic process	single-organism metabolic process	single-organism metabolic process	single-organism metabolic process	single-organism metabolic process	single-organism metabolic process	single-organism metabolic process	single-organism metabolic process	single-organism metabolic process	single-organism metabolic process	Energy metabolism	Electron transport	rnfA: electron transport complex, RnfABCDGE type, A subunit
T116	None	None	None	None	None	None	None	None	None	None	None	None	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	LptC_YrbK: LPS export ABC transporter periplasmic protein LptC
T18	biological_process	localization	establishment of localization	transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	2A0119: cation transport protein
T220	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	3a0801s03tim44: mitochondrial import inner membrane, translocase subunit
T682	None	None	None	None	None	None	None	None	None	None	None	None	Unknown function	Enzymes of unknown specificity	LP_HExxH_w_tonB: substrate import-associated zinc metallohydrolase lipoprotein
T989	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	2A0306: amino acid transporter
T903	biological_process	localization	establishment of localization	transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	None	None	PhnV: 2-aminoethylphosphonate ABC transport system, membrane component PhnV
T966	molecular_function	transporter activity	transmembrane transporter activity	passive transmembrane transporter activity	channel activity	wide pore channel activity	wide pore channel activity	wide pore channel activity	wide pore channel activity	wide pore channel activity	wide pore channel activity	wide pore channel activity	Protein fate	Protein and peptide secretion and trafficking	type_I_sec_TolC: type I secretion outer membrane protein, TolC family
T191	biological_process	localization	establishment of localization	transport	single-organism transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	sulfur compound transport	Transport and binding proteins	Anions	3a0106s03: sulfate ABC transporter, sulfate-binding protein
T686	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	FlhB_rel_III: type III secretion protein, YscU/HrpY family
T342	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	typeII_sec_gspH: type II secretion system protein H
T39	None	None	None	None	None	None	None	None	None	None	None	None	Hypothetical proteins	Conserved	TIGR00056: ABC transport permease subunit
T537	biological_process	localization	establishment of localization	transport	ion transport	cation transport	cation transport	cation transport	cation transport	cation transport	cation transport	cation transport	Cellular processes	Detoxification	2A0601: heavy metal efflux pump, CzcA family
T364	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	benE: benzoate transporter
T96	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	T7_EssCb_Firm: type VII secretion protein EssC
T36	molecular_function	transporter activity	transmembrane transporter activity	substrate-specific transmembrane transporter activity	ion transmembrane transporter activity	cation transmembrane transporter activity	inorganic cation transmembrane transporter activity	monovalent inorganic cation transmembrane transporter activity	monovalent inorganic cation transmembrane transporter activity	monovalent inorganic cation transmembrane transporter activity	monovalent inorganic cation transmembrane transporter activity	monovalent inorganic cation transmembrane transporter activity	Transport and binding proteins	Cations and iron carrying compounds	exbB2: tonB-system energizer ExbB
T215	None	None	None	None	None	None	None	None	None	None	None	None	Cellular processes	Pathogenesis	T1SS_VCA0849: type I secretion C-terminal target domain (VC_A0849 subclass)
T675	biological_process	localization	establishment of localization	transport	ion transport	cation transport	metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	Cellular processes	Detoxification	MerP: mercuric transport protein periplasmic component
T20	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	2A0310: amino acid permease (yeast)
T177	molecular_function	catalytic activity	hydrolase activity	hydrolase activity, acting on acid anhydrides	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	pyrophosphatase activity	nucleoside-triphosphatase activity	ATPase activity	ATPase activity, coupled	ATPase activity, coupled to movement of substances	ATPase activity, coupled to movement of substances	ATPase activity, coupled to movement of substances	Transport and binding proteins	Amino acids, peptides and amines	phnS2: putative 2-aminoethylphosphonate ABC transporter, periplasmic 2-aminoethylphosphonate-binding protein
T685	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein folding and stabilization	type_III_SycN: type III secretion chaperone SycN
T73	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	T7_EssB: type VII secretion protein EssB
T151	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	formate_focA: formate transporter FocA
T670	biological_process	single-organism process	single-organism metabolic process	small molecule metabolic process	vitamin metabolic process	water-soluble vitamin metabolic process	thiamine-containing compound metabolic process	thiamine-containing compound biosynthetic process	thiamine-containing compound biosynthetic process	thiamine-containing compound biosynthetic process	thiamine-containing compound biosynthetic process	thiamine-containing compound biosynthetic process	Transport and binding proteins	Other	thiW: energy coupling factor transporter S component ThiW
T37	biological_process	localization	establishment of localization	transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	Transport and binding proteins	Nucleosides, purines and pyrimidines	ncs2: uracil-xanthine permease
T163	biological_process	localization	establishment of localization	transport	nitrogen compound transport	ammonium transport	ammonium transport	ammonium transport	ammonium transport	ammonium transport	ammonium transport	ammonium transport	Transport and binding proteins	Amino acids, peptides and amines	ABC_choline_bnd: choline ABC transporter, periplasmic binding protein
T513	biological_process	localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	Cellular processes	Adaptations to atypical conditions	2A0125: AmpG-like permease
T492	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	2A43: lysosomal Cystine Transporter
T945	biological_process	localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	Transport and binding proteins	Porins	TonB-Xanth-Caul: TonB-dependent receptor
T420	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	citMHS: citrate transporter
T265	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	T7SS_EssA_Firm: type VII secretion protein EssA
T660	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	NHLM_micro_ABC1: NHLM bacteriocin system ABC transporter, peptidase/ATP-binding protein
T860	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Anions	2A0114euk: Na(+)-dependent inorganic phosphate cotransporter
T740	molecular_function	transporter activity	substrate-specific transporter activity	substrate-specific transmembrane transporter activity	amide transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	Transport and binding proteins	Amino acids, peptides and amines	urea_trans_UrtE: urea ABC transporter, ATP-binding protein UrtE
T112	biological_process	localization	establishment of localization	transport	single-organism transport	drug transport	drug transport	drug transport	drug transport	drug transport	drug transport	drug transport	Transport and binding proteins	Other	matE: MATE efflux family protein
T243	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	NHLM_micro_ABC2: NHLM bacteriocin system ABC transporter, ATP-binding protein
T581	biological_process	localization	establishment of localization	transport	ion transport	cation transport	metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	Transport and binding proteins	Cations and iron carrying compounds	cbiO: cobalt ABC transporter, ATP-binding protein
T52	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	III_secr_YscJ: type III secretion apparatus lipoprotein, YscJ/HrcJ family
T301	molecular_function	catalytic activity	hydrolase activity	hydrolase activity, acting on acid anhydrides	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	pyrophosphatase activity	nucleoside-triphosphatase activity	ATPase activity	ATPase activity, coupled	ATPase activity, coupled to movement of substances	ATPase activity, coupled to movement of substances	ATPase activity, coupled to movement of substances	None	None	heterocyst_DevA: ABC exporter ATP-binding subunit, DevA family
T838	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	VI_chp_1: type VI secretion protein, VC_A0111 family
T104	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	2A0104: phosphoglycerate transporter family protein
T974	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Cations and iron carrying compounds	LIC: cation transporter family protein
T887	biological_process	localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	Transport and binding proteins	Cations and iron carrying compounds	TonB-hemin: TonB-dependent heme/hemoglobin receptor family protein
T308	biological_process	localization	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	Transport and binding proteins	Cations and iron carrying compounds	potass_kdpF: K+-transporting ATPase, F subunit
T984	biological_process	localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	None	None	ADOP: acidobacterial duplicated orphan permease
T24	biological_process	localization	establishment of localization	transport	ion transport	ion transport	ion transport	ion transport	ion transport	ion transport	ion transport	ion transport	Transport and binding proteins	Cations and iron carrying compounds	CDF: cation diffusion facilitator family transporter
T541	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	phenyl_ABC_PedC: alcohol ABC transporter, permease protein
T727	biological_process	localization	establishment of localization	transport	single-organism transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	organic acid transport	None	None	ectoine_ehuC: ectoine/hydroxyectoine ABC transporter, permease protein EhuC
T627	biological_process	localization	establishment of localization	transport	ion transport	cation transport	metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	Transport and binding proteins	Cations and iron carrying compounds	nickel_nikB: nickel ABC transporter, permease subunit NikB
T790	biological_process	localization	establishment of localization	transport	ion transport	cation transport	metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	transition metal ion transport	Transport and binding proteins	Cations and iron carrying compounds	CopY_TcrY: copper transport repressor, CopY/TcrY family
T830	biological_process	localization	establishment of localization	transport	single-organism transport	carbohydrate transport	monosaccharide transport	pentose transport	pentose transport	pentose transport	pentose transport	pentose transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	xylF: D-xylose ABC transporter, D-xylose-binding protein
T76	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	yscR: type III secretion apparatus protein, YscR/HrcR family
T92	biological_process	localization	establishment of localization	transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	Transport and binding proteins	Amino acids, peptides and amines	proV: glycine betaine/L-proline transport ATP binding subunit
T70	biological_process	localization	establishment of localization	transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	MsbA_lipidA: lipid A export permease/ATP-binding protein MsbA
T124	biological_process	localization	establishment of localization	transport	single-organism transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	Transport and binding proteins	Other	thiQ: thiamine ABC transporter, ATP-binding protein
T129	biological_process	localization	establishment of localization	transport	single-organism transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	vitamin transport	Transport and binding proteins	Other	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein
T120	biological_process	localization	establishment of localization	transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	gph: sugar (Glycoside-Pentoside-Hexuronide) transporter
T262	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	type_I_hlyD: type I secretion membrane fusion protein, HlyD family
T66	biological_process	localization	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	Transport and binding proteins	Anions	modA: molybdate ABC transporter, periplasmic molybdate-binding protein
T34	molecular_function	transporter activity	transmembrane transporter activity	active transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	2-aminoethylphosphonate transmembrane transporter activity	Transport and binding proteins	Amino acids, peptides and amines	potA: polyamine ABC transporter, ATP-binding protein
T107	biological_process	localization	establishment of localization	transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	nitrogen compound transport	Transport and binding proteins	Cations and iron carrying compounds	amt: ammonium transporter
T600	None	None	None	None	None	None	None	None	None	None	None	None	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	LptG_lptG: LPS export ABC transporter permease LptG
T14	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	fliQ_rel_III: type III secretion protein, HrpO family
T684	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	3a0901s04IAP86: chloroplast protein import component Toc86/159, G and M domains
T832	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Other	3a01204: pigment precursor permease
T115	biological_process	localization	establishment of localization	transport	ion transport	cation transport	cation transport	cation transport	cation transport	cation transport	cation transport	cation transport	Transport and binding proteins	Cations and iron carrying compounds	nramp: metal ion transporter, metal ion (Mn2+/Fe2+) transporter (Nramp) family
T57	biological_process	localization	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	Transport and binding proteins	Cations and iron carrying compounds	NhaB: Na+/H+ antiporter NhaB
T905	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Other	bacteriocin_acc: bacteriocin secretion accessory protein
T695	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	3a0901s06TIC22: chloroplast protein import component, Tic22 family
T261	biological_process	localization	establishment of localization	transport	nitrogen compound transport	ammonium transport	ammonium transport	ammonium transport	ammonium transport	ammonium transport	ammonium transport	ammonium transport	Transport and binding proteins	Amino acids, peptides and amines	ABC_choXWV_ATP: choline ABC transporter, ATP-binding protein
T829	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	anch_rpt_perm: anchored repeat-type ABC transporter, permease subunit
T302	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Cellular processes	Pathogenesis	VI_IcmF: type VI secretion protein IcmF
T572	biological_process	localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	establishment of localization	Cellular processes	Toxin production and resistance	L_ocin_972_ABC: putative bacteriocin export ABC transporter, lactococcin 972 group
T498	None	None	None	None	None	None	None	None	None	None	None	None	Cellular processes	Pathogenesis	IpaC_SipC: type III secretion target, IpaC/SipC family
T11	biological_process	cellular process	cell cycle process	cell cycle process	cell cycle process	cell cycle process	cell cycle process	cell cycle process	cell cycle process	cell cycle process	cell cycle process	cell cycle process	Cellular processes	Cell division	ftsX: putative protein insertion permease FtsX
T524	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	HrpE_YscL_not: type III secretion apparatus protein, HrpE/YscL family
T209	biological_process	localization	establishment of localization	transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	organic substance transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	malonate_madL: malonate transporter, MadL subunit
T90	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	2A76: homoserine/Threonine efflux protein
T758	biological_process	localization	establishment of localization	transport	nitrogen compound transport	amide transport	peptide transport	peptide transport	peptide transport	peptide transport	peptide transport	peptide transport	Transport and binding proteins	Amino acids, peptides and amines	TIGR00733: oligopeptide transporter, OPT family
T59	biological_process	localization	establishment of localization	transport	ion transport	ion transport	ion transport	ion transport	ion transport	ion transport	ion transport	ion transport	Transport and binding proteins	Anions	fnt: formate/nitrite transporter
