TransporterGroup	Family	Description
T0	PF03612	Sorbitol phosphotransferase enzyme II N-terminus
T0	PF07663	Sorbitol phosphotransferase enzyme II C-terminus
T0	COG3731	Phosphotransferase system sorbitol-specific component IIA
T0	COG3730	Phosphotransferase system sorbitol-specific component IIC
T0	COG3732	Phosphotransferase system sorbitol-specific component IIBC
T21	PF02355	Protein export membrane protein
T21	PF13721	SecD export protein N-terminal TM region
T21	PF04995	Heme exporter protein D (CcmD)
T21	TIGR01190	ccmB: heme exporter protein CcmB
T21	TIGR00966	3a0501s07: protein-export membrane protein SecF
T21	TIGR03141	cytochro_ccmD: heme exporter protein CcmD
T21	TIGR01189	ccmA: heme ABC exporter, ATP-binding protein CcmA
T21	TIGR01191	ccmC: heme exporter protein CcmC
T21	TIGR00916	2A0604s01: protein-export membrane protein, SecD/SecF family
T21	TIGR01129	secD: protein-export membrane protein SecD
T21	COG0755	ABC-type transport system involved in cytochrome c biogenesis, permease component
T21	COG3114	Heme exporter protein D
T21	COG2386	ABC-type transport system involved in cytochrome c biogenesis, permease component
T21	COG4133	ABC-type transport system involved in cytochrome c biogenesis, ATPase component
T20	PF05437	Branched-chain amino acid transport protein (AzlD)
T20	COG1687	Predicted branched-chain amino acid permeases (azaleucine resistance)
T20	COG1296	Predicted branched-chain amino acid permease (azaleucine resistance)
T23	PF04051	Transport protein particle (TRAPP) component
T23	COG5128	Transport protein particle (TRAPP) complex subunit
T22	PF03739	Predicted permease YjgP/YjgQ family
T22	TIGR04407	LptF_YjgP: LPS export ABC transporter permease LptF
T22	TIGR04408	LptG_lptG: LPS export ABC transporter permease LptG
T22	COG0795	Predicted permeases
T25	TIGR01291	nodJ: ABC-2 type transporter, NodJ family
T25	TIGR01288	nodI: nodulation ABC transporter NodI
T24	PF14785	Maltose transport system permease protein MalF P2 domain
T24	TIGR02141	modB_ABC: molybdate ABC transporter, permease protein
T24	TIGR02142	modC_ABC: molybdate ABC transporter, ATP-binding protein
T24	TIGR01256	modA: molybdate ABC transporter, periplasmic molybdate-binding protein
T24	TIGR03730	tungstate_WtpA: tungstate ABC transporter binding protein WtpA
T24	COG1175	ABC-type sugar transport systems, permease components
T24	COG3833	ABC-type maltose transport systems, permease component
T24	COG0395	ABC-type sugar transport system, permease component
T24	COG4209	ABC-type polysaccharide transport system, permease component
T24	COG0725	ABC-type molybdate transport system, periplasmic component
T24	COG0559	Branched-chain amino acid ABC-type transport system, permease components
T24	COG3839	ABC-type sugar transport systems, ATPase components
T24	COG0683	ABC-type branched-chain amino acid transport systems, periplasmic component
T24	COG4149	ABC-type molybdate transport system, permease component
T24	COG4148	ABC-type molybdate transport system, ATPase component
T24	COG1653	ABC-type sugar transport system, periplasmic component
T24	COG0411	ABC-type branched-chain amino acid transport systems, ATPase component
T24	COG0410	ABC-type branched-chain amino acid transport systems, ATPase component
T24	COG4177	ABC-type branched-chain amino acid transport system, permease component
T27	PF01733	Nucleoside transporter
T27	TIGR00939	2a57: nucleoside Transporter
T26	TIGR04034	export_SdpA: antimicrobial peptide system protein, SdpA family
T190	TIGR01948	rnfE: electron transport complex, RnfABCDGE type, E subunit
T190	TIGR01945	rnfC: electron transport complex, RnfABCDGE type, C subunit
T190	TIGR01944	rnfB: electron transport complex, RnfABCDGE type, B subunit
T190	TIGR01947	rnfG: electron transport complex, RnfABCDGE type, G subunit
T190	TIGR01946	rnfD: electron transport complex, RnfABCDGE type, D subunit
T190	TIGR01943	rnfA: electron transport complex, RnfABCDGE type, A subunit
T239	TIGR00792	gph: sugar (Glycoside-Pentoside-Hexuronide) transporter
T239	COG2211	Na+/melibiose symporter and related transporters
T238	PF05662	Coiled stalk of trimeric autotransporter adhesin
T238	PF05658	Head domain of trimeric autotransporter adhesin
T237	PF03547	Membrane transport protein
T237	TIGR00946	2a69: auxin efflux carrier
T237	COG0679	Predicted permeases
T236	TIGR00948	2a75: L-lysine exporter
T236	COG1279	Lysine efflux permease
T235	PF01366	Herpesvirus processing and transport protein
T234	PF01970	Tripartite tricarboxylate transporter TctA family
T233	PF03219	TLC ATP/ADP transporter
T232	PF08946	Osmosensory transporter coiled coil
T232	TIGR00883	2A0106: MFS transporter, metabolite:H+ symporter (MHS) family protein
T231	COG2072	Predicted flavoprotein involved in K+ transport
T230	PF13722	5TM C-terminal transporter carbon starvation CstA
T38	PF15894	Inhibitor of glucose uptake transporter SgrT
T39	PF08403	Amino acid permease N-terminal
T39	TIGR00930	2a30: K-Cl cotransporter
T36	PF03810	Importin-beta N-terminal domain
T36	PF08389	Exportin 1-like protein
T36	COG5101	Importin beta-related nuclear transport receptor
T36	COG5215	Karyopherin (importin) beta
T36	COG5656	Importin, protein involved in nuclear import
T37	PF11988	Retrograde transport protein Dsl1 N terminal
T37	PF11989	Retrograde transport protein Dsl1 C terminal
T34	PF03553	Na+/H+ antiporter family
T34	TIGR00931	antiport_nhaC: Na+/H+ antiporter NhaC
T34	COG2056	Predicted permease
T34	COG1757	Na+/H+ antiporter
T35	COG3704	Type IV secretory pathway, VirB6 components
T35	COG0630	Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis
T35	COG3504	Type IV secretory pathway, VirB9 components
T35	COG2948	Type IV secretory pathway, VirB10 components
T35	COG3736	Type IV secretory pathway, component VirB8
T32	PF11382	Copper transport outer membrane protein, MctB
T33	PF01235	Sodium:alanine symporter family
T33	COG1115	Na+/alanine symporter
T30	PF12793	Sugar transport-related sRNA regulator N-term
T30	COG4533	ABC-type uncharacterized transport system, periplasmic component
T31	PF03471	Transporter associated domain
T31	COG3263	NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain
T31	COG4137	ABC-type uncharacterized transport system, permease component
T31	COG4536	Putative Mg2+ and Co2+ transporter CorB
T31	COG4535	Putative Mg2+ and Co2+ transporter CorC
T250	PF06646	High affinity transport system protein p37
T53	PF04973	Nicotinamide mononucleotide transporter
T53	TIGR01528	NMN_trans_PnuC: nicotinamide mononucleotide transporter PnuC
T53	COG3201	Nicotinamide mononucleotide transporter
T208	TIGR01197	nramp: metal ion transporter, metal ion (Mn2+/Fe2+) transporter (Nramp) family
T208	COG1914	Mn2+ and Fe2+ transporters of the NRAMP family
T209	PF03390	2-hydroxycarboxylate transporter family
T209	COG3493	Na+/citrate symporter
T202	PF08627	CRT-like, chloroquine-resistance transporter-like
T203	PF08626	Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit
T200	PF16996	Accessory secretory protein Sec Asp4
T201	PF11130	F pilus assembly Type-IV secretion system for plasmid transfer
T201	TIGR02746	TraC-F-type: type-IV secretion system protein TraC
T206	TIGR00890	2A0111: oxalate/formate antiporter family transporter
T206	TIGR04259	oxa_formateAnti: oxalate/formate antiporter
T207	PF03594	Benzoate membrane transport protein
T207	TIGR00843	benE: benzoate transporter
T204	PF03812	2-keto-3-deoxygluconate permease
T204	TIGR00793	kdgT: 2-keto-3-deoxygluconate transporter
T205	PF11711	Inner membrane protein import complex subunit Tim54
T178	COG1744	Uncharacterized ABC-type transport system, periplasmic component/surface lipoprotein
T178	COG4603	ABC-type uncharacterized transport system, permease component
T178	COG3845	ABC-type uncharacterized transport systems, ATPase components
T178	COG1079	Uncharacterized ABC-type transport system, permease component
T223	PF10032	Phosphate transport (Pho88)
T180	PF10304	Required for nuclear transport of RNA pol II C-terminus 2
T180	PF10363	Required for nuclear transport of RNA pol II C-terminus 1
T218	PF07168	Ureide permease
T69	PF00860	Permease family
T69	TIGR03173	pbuX: xanthine permease
T69	TIGR03616	RutG: pyrimidine utilization transport protein G
T69	TIGR00801	ncs2: uracil-xanthine permease
T69	COG2252	Permeases
T69	COG2233	Xanthine/uracil permeases
T68	PF14931	Intraflagellar transport complex B, subunit 20
T215	PF06516	Purine nucleoside permease (NUP)
T214	PF10498	Intra-flagellar transport protein 57
T217	PF17112	Mitochondrial import receptor subunit Tom6, fungal
T216	PF02136	Nuclear transport factor 2 (NTF2) domain
T211	PF11700	Vacuole effluxer Atg22 like
T211	COG2270	Permeases of the major facilitator superfamily
T210	PF03253	Urea transporter
T210	COG4413	Urea transporter
T213	TIGR03929	T7_esaA_Nterm: type VII secretion protein EsaA
T213	TIGR03930	WXG100_ESAT6: WXG100 family type VII secretion target
T212	PF13000	Acetyl-coenzyme A transporter 1
T212	TIGR00901	2A0125: AmpG-like permease
T196	PF07931	Chloramphenicol phosphotransferase-like protein
T196	COG3896	Chloramphenicol 3-O-phosphotransferase
T197	PF16166	Chloroplast import apparatus Tic20-like
T197	TIGR00994	3a0901s05TIC20: chloroplast protein import component, Tic20 family
T194	PF10104	Di-sulfide bridge nucleocytoplasmic transport domain
T195	TIGR03265	PhnT2: putative 2-aminoethylphosphonate ABC transporter, ATP-binding protein
T219	PF15178	Mitochondrial import receptor subunit TOM5 homolog
T193	TIGR01188	drrA: daunorubicin resistance ABC transporter, ATP-binding protein
T193	TIGR00025	Mtu_efflux: ABC transporter efflux protein, DrrB family
T192	TIGR04056	OMP_RagA_SusC: TonB-linked outer membrane protein, SusC/RagA family
T192	TIGR04057	SusC_RagA_signa: TonB-dependent outer membrane receptor, SusC/RagA subfamily, signature region
T191	COG2893	Phosphotransferase system, mannose/fructose-specific component IIA
T191	COG3716	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IID
T191	COG3715	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIC
T191	COG3444	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB
T116	PF07664	Ferrous iron transport protein B C terminus
T116	PF02421	Ferrous iron transport protein B
T116	TIGR00437	feoB: ferrous iron transport protein B
T116	COG0370	Fe2+ transport system protein B
T116	COG1918	Fe2+ transport system protein A
T117	PF03480	Bacterial extracellular solute-binding protein, family 7
T117	PF06808	Tripartite ATP-independent periplasmic transporter, DctM component
T117	TIGR00787	dctP: TRAP transporter solute receptor, DctP family
T117	TIGR00786	dctM: TRAP transporter, DctM subunit
T117	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component
T117	COG4663	TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component
T117	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component
T117	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component
T114	PF11203	Putative type VII ESX secretion system translocon, EccE
T114	TIGR03923	T7SS_EccE: type VII secretion protein EccE
T115	PF09483	Type III secretion protein (HpaP)
T115	TIGR02557	HpaP: type III secretion protein HpaP
T112	PF09075	Heat-stable enterotoxin B, secretory
T113	PF03605	Anaerobic c4-dicarboxylate membrane transporter
T113	TIGR00770	Dcu: transporter, anaerobic C4-dicarboxylate uptake (Dcu) family
T113	COG2704	Anaerobic C4-dicarboxylate transporter
T110	TIGR02135	phoU_full: phosphate transport system regulatory protein PhoU
T110	TIGR02138	phosphate_pstC: phosphate ABC transporter, permease protein PstC
T110	TIGR00975	3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS
T110	TIGR00974	3a0107s02c: phosphate ABC transporter, permease protein PstA
T110	TIGR00972	3a0107s01c2: phosphate ABC transporter, ATP-binding protein
T110	COG0573	ABC-type phosphate transport system, permease component
T110	COG4619	ABC-type uncharacterized transport system, ATPase component
T110	COG0581	ABC-type phosphate transport system, permease component
T110	COG0704	Phosphate uptake regulator
T110	COG1117	ABC-type phosphate transport system, ATPase component
T110	COG0226	ABC-type phosphate transport system, periplasmic component
T110	COG0390	ABC-type uncharacterized transport system, permease component
T111	PF10636	Hemin uptake protein hemP
T111	COG4256	Hemin uptake protein
T118	TIGR04183	Por_Secre_tail: Por secretion system C-terminal sorting domain
T119	PF03865	Haemolysin secretion/activation protein ShlB/FhaC/HecB
T119	COG2831	Hemolysin activation/secretion protein
T174	TIGR00924	yjdL_sub1_fam: amino acid/peptide transporter (Peptide:H+ symporter)
T174	TIGR00926	2A1704: oligopeptide transporter, peptide:H+ symporter
T174	COG3104	Dipeptide/tripeptide permease
T175	PF02374	Anion-transporting ATPase
T175	TIGR00345	GET3_arsA_TRC40: transport-energizing ATPase, TRC40/GET3/ArsA family
T176	TIGR02122	TRAP_TAXI: TRAP transporter solute receptor, TAXI family
T176	COG2358	TRAP-type uncharacterized transport system, periplasmic component
T177	PF06472	ABC transporter transmembrane region 2
T177	TIGR00954	3a01203: peroxysomal long chain fatty acyl transporter
T177	COG4178	ABC-type uncharacterized transport system, permease and ATPase components
T170	PF03821	Golgi 4-transmembrane spanning transporter
T170	TIGR00799	mtp: Golgi 4-transmembrane spanning transporter
T171	PF03137	Organic Anion Transporter Polypeptide (OATP) family
T171	TIGR00805	oat: sodium-independent organic anion transporter
T172	PF07662	Na+ dependent nucleoside transporter C-terminus
T172	PF01773	Na+ dependent nucleoside transporter N-terminus
T172	TIGR00804	nupC: nucleoside transporter, NupC family
T172	COG1972	Nucleoside permease
T173	PF10614	Type VIII secretion system (T8SS), CsgF protein
T49	PF13593	SBF-like CPA transporter family (DUF4137)
T49	PF01758	Sodium Bile acid symporter family
T49	TIGR00841	bass: bile acid transporter
T49	COG0385	Predicted Na+-dependent transporter
T49	COG0798	Arsenite efflux pump ACR3 and related permeases
T179	PF05108	Type VII secretion system ESX-1, transport TM domain B
T179	TIGR03919	T7SS_EccB: type VII secretion protein EccB
T42	PF03083	Sugar efflux transporter for intercellular exchange
T189	PF03583	Secretory lipase
T188	COG4778	ABC-type phosphonate transport system, ATPase component
T188	COG4107	ABC-type phosphonate transport system, ATPase component
T262	PF04120	Low affinity iron permease
T263	PF06979	Assembly, mitochondrial proton-transport ATP synth complex
T264	PF08314	Secretory pathway protein Sec39
T265	PF10392	Golgi transport complex subunit 5
T266	PF05008	Vesicle transport v-SNARE protein N-terminus
T267	COG1123	ATPase components of various ABC-type transport systems, contain duplicated ATPase
T268	PF05977	Transmembrane secretion effector
T51	PF05157	Type II secretion system (T2SS), protein E, N-terminal domain
T51	PF12019	Type II transport protein GspH
T51	PF08334	Type II secretion system (T2SS), protein G
T51	TIGR01710	typeII_sec_gspG: type II secretion system protein G
T51	TIGR02120	GspF: type II secretion system protein F
T51	TIGR01708	typeII_sec_gspH: type II secretion system protein H
T51	COG1459	Type II secretory pathway, component PulF
T52	PF08619	Alkali metal cation/H+ antiporter Nha1 C terminus
T52	TIGR00831	a_cpa1: Na+/H+ antiporter
T52	TIGR00844	c_cpa1: sodium/hydrogen antiporter
T52	COG0025	NhaP-type Na+/H+ and K+/H+ antiporters
T182	PF05525	Branched-chain amino acid transport protein
T182	PF16326	ABC transporter C-terminal domain
T182	TIGR01773	GABAperm: GABA permease
T182	TIGR00796	livcs: branched-chain amino acid transport system II carrier protein
T182	COG0488	ATPase components of ABC transporters with duplicated ATPase domains
T182	COG1114	Branched-chain amino acid permeases
T182	COG1113	Gamma-aminobutyrate permease and related permeases
T185	TIGR03925	T7SS_EccC_b: type VII secretion protein EccCb
T185	TIGR03924	T7SS_EccC_a: type VII secretion protein EccCa
T184	PF10766	Multidrug efflux pump-associated protein AcrZ
T187	COG3822	ABC-type sugar transport system, auxiliary component
T186	TIGR03003	ectoine_ehuD: ectoine/hydroxyectoine ABC transporter, permease protein EhuD
T186	TIGR02995	ectoine_ehuB: ectoine/hydroxyectoine ABC transporter solute-binding protein EhuB
T186	TIGR03004	ectoine_ehuC: ectoine/hydroxyectoine ABC transporter, permease protein EhuC
T186	TIGR03005	ectoine_ehuA: ectoine/hydroxyectoine ABC transporter, ATP-binding protein EhuA
T101	COG4594	ABC-type Fe3+-citrate transport system, periplasmic component
T100	PF03169	OPT oligopeptide transporter protein
T100	TIGR00733	TIGR00733: oligopeptide transporter, OPT family
T100	TIGR00728	OPT_sfam: oligopeptide transporter, OPT superfamily
T100	TIGR00727	ISP4_OPT: small oligopeptide transporter, OPT family
T103	TIGR00893	2A0114: D-galactonate transporter
T103	TIGR00881	2A0104: phosphoglycerate transporter family protein
T103	TIGR00712	glpT: glycerol-3-phosphate transporter
T103	COG2271	Sugar phosphate permease
T102	TIGR00771	DcuC: transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family
T102	COG3069	C4-dicarboxylate transporter
T105	PF06450	Bacterial Na+/H+ antiporter B (NhaB)
T105	TIGR00774	NhaB: Na+/H+ antiporter NhaB
T105	COG3067	Na+/H+ antiporter
T104	PF00844	Geminivirus coat protein/nuclear export factor BR1 family
T107	PF03600	Citrate transporter
T107	PF00939	Sodium:sulfate symporter transmembrane region
T107	PF03401	Tripartite tricarboxylate transporter family receptor
T107	TIGR00784	citMHS: citrate transporter
T107	TIGR00935	2a45: arsenite/antimonite efflux pump membrane protein
T107	TIGR00775	NhaD: Na+/H+ antiporter, NhaD family
T107	TIGR00785	dass: transporter, divalent anion:Na+ symporter (DASS) family
T107	COG0471	Di- and tricarboxylate transporters
T107	COG1055	Na+/H+ antiporter NhaD and related arsenite permeases
T107	COG2851	H+/citrate symporter
T106	PF16537	Type II secretion system protein B
T109	PF01749	Importin beta binding domain
T109	COG5064	Karyopherin (importin) alpha
T108	PF14510	ABC-transporter extracellular N-terminal
T108	PF08370	Plant PDR ABC transporter associated
T108	PF06422	CDR ABC transporter
T41	PF03082	Male accessory gland secretory protein
T167	TIGR00797	matE: MATE efflux family protein
T167	COG0534	Na+-driven multidrug efflux pump
T58	PF13906	C-terminus of AA_permease
T58	TIGR00906	2A0303: cationic amino acid transport permease
T165	PF16168	Adhesin of bacterial autotransporter system, probable stalk
T165	TIGR04415	O_hepto_targRPT: autotransporter passenger strand-loop-strand repeat
T164	PF07970	Endoplasmic reticulum vesicle transporter
T163	PF16185	Mitochondrial ABC-transporter N-terminal five TM region
T163	COG5265	ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components
T162	PF12317	Intraflagellar transport complex B protein 46 C terminal
T161	PF06738	Putative threonine/serine exporter
T161	PF12821	Threonine/Serine exporter, ThrE
T160	PF05638	Type VI secretion system effector, Hcp
T160	TIGR03344	VI_effect_Hcp1: type VI secretion system effector, Hcp1 family
T6	PF12558	ATP-binding cassette cobalt transporter
T6	PF00375	Sodium:dicarboxylate symporter family
T6	PF07155	ECF-type riboflavin transporter, S component
T6	TIGR02314	ABC_MetN: D-methionine ABC transporter, ATP-binding protein
T6	TIGR04518	ECF_S_folT_fam: ECF transporter S component, folate family
T6	COG3633	Na+/serine symporter
T6	COG1301	Na+/H+-dicarboxylate symporters
T6	COG2011	ABC-type metal ion transport system, permease component
T6	COG1135	ABC-type metal ion transport system, ATPase component
T6	COG1464	ABC-type metal ion transport system, periplasmic component/surface antigen
T6	COG1823	Predicted Na+/dicarboxylate symporter
T7	PF04392	ABC transporter substrate binding protein
T7	COG4120	ABC-type uncharacterized transport system, permease component
T7	COG2984	ABC-type uncharacterized transport system, periplasmic component
T4	PF01891	Cobalt uptake substrate-specific transmembrane region
T4	PF02553	Cobalt transport protein component CbiN
T4	TIGR01165	cbiN: cobalt transport protein
T4	TIGR01166	cbiO: cobalt ABC transporter, ATP-binding protein
T4	TIGR02454	ECF_T_CbiQ: cobalt ECF transporter T component CbiQ
T4	TIGR04520	ECF_ATPase_1: energy-coupling factor transporter ATPase
T4	TIGR04521	ECF_ATPase_2: energy-coupling factor transporter ATPase
T4	COG5266	ABC-type Co2+ transport system, periplasmic component
T4	COG1930	ABC-type cobalt transport system, periplasmic component
T4	COG0310	ABC-type Co2+ transport system, permease component
T5	TIGR01522	ATPase-IIA2_Ca: calcium-transporting P-type ATPase, PMR1-type
T5	TIGR01647	ATPase-IIIA_H: plasma-membrane proton-efflux P-type ATPase
T5	TIGR01106	ATPase-IIC_X-K: Na,H/K antiporter P-type ATPase, alpha subunit
T5	COG0474	Cation transport ATPase
T2	PF06218	Nitrogen permease regulator 2
T3	COG4161	ABC-type arginine transport system, ATPase component
T3	COG4160	ABC-type arginine/histidine transport system, permease component
T3	COG4215	ABC-type arginine transport system, permease component
T3	COG4598	ABC-type histidine transport system, ATPase component
T3	COG0834	ABC-type amino acid transport/signal transduction systems, periplasmic component/domain
T3	COG1126	ABC-type polar amino acid transport system, ATPase component
T3	COG0765	ABC-type amino acid transport system, permease component
T3	COG4597	ABC-type amino acid transport system, permease component
T169	PF02690	Na+/Pi-cotransporter
T169	TIGR00704	NaPi_cotrn_rel: Na/Pi-cotransporter II-related protein
T169	TIGR01013	2a58: sodium-dependent inorganic phosphate (Pi) transporter
T169	COG1283	Na+/phosphate symporter
T168	TIGR00886	2A0108: nitrite transporter
T168	COG2223	Nitrate/nitrite transporter
T181	PF06609	Fungal trichothecene efflux pump (TRI12)
T260	PF04464	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase
T261	PF08318	COG4 transport protein
T256	PF16860	CHCH-CHCH-like Cx9C, IMS import disulfide relay-system,
T273	PF03619	Organic solute transporter Ostalpha
T272	TIGR00896	CynX: cyanate transporter
T272	COG2807	Cyanate permease
T271	PF04281	Mitochondrial import receptor subunit Tom22
T271	TIGR00986	3a0801s05tom22: mitochondrial import receptor subunit
T270	TIGR04077	expor_sig_YdyF: exported signaling peptide, YydF/SAG_2028 family
T277	PF07824	Type III secretion chaperone domain
T276	PF09822	ABC-type uncharacterized transport system
T275	COG1277	ABC-type transport system involved in multi-copper enzyme maturation, permease component
T274	PF00955	HCO3- transporter family
T65	PF11728	Putative aromatic acid exporter C-terminal domain
T65	PF06081	Aromatic acid exporter family member 1
T64	PF03364	Polyketide cyclase / dehydrase and lipid transport
T64	COG2867	Oligoketide cyclase/lipid transport protein
T67	COG1805	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB
T67	COG2871	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF
T67	COG1347	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD
T67	COG2209	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrE
T67	COG1726	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA
T67	COG2869	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC
T66	TIGR00816	tdt: C4-dicarboxylate transporter/malic acid transport protein
T66	COG1275	Tellurite resistance protein and related permeases
T61	TIGR03810	arg_ornith_anti: arginine-ornithine antiporter
T61	TIGR04299	antiport_PotE: putrescine-ornithine antiporter
T61	TIGR00905	2A0302: transporter, basic amino acid/polyamine antiporter (APA) family
T60	PF03239	Iron permease FTR1 family
T60	COG2822	Predicted periplasmic lipoprotein involved in iron transport
T60	COG0672	High-affinity Fe2+/Pb2+ permease
T63	PF02563	Polysaccharide biosynthesis/export protein
T63	TIGR01010	BexC_CtrB_KpsE: polysaccharide export inner-membrane protein, BexC/CtrB/KpsE family
T63	TIGR01005	eps_transp_fam: exopolysaccharide transport protein family
T63	COG3524	Capsule polysaccharide export protein
T63	COG1682	ABC-type polysaccharide/polyol phosphate export systems, permease component
T63	COG1134	ABC-type polysaccharide/polyol phosphate transport system, ATPase component
T63	COG1596	Periplasmic protein involved in polysaccharide export
T62	PF01306	LacY proton/sugar symporter
T62	TIGR00902	2A0127: MFS transporter, phenyl propionate permease (PPP) family
T62	TIGR00882	2A0105: oligosaccharide:H+ symporter
T50	PF02472	Biopolymer transport protein ExbD/TolR
T50	TIGR02797	exbB: tonB-system energizer ExbB
T50	TIGR02803	ExbD_1: TonB system transport protein ExbD
T50	TIGR02805	exbB2: tonB-system energizer ExbB
T50	TIGR02804	ExbD_2: TonB system transport protein ExbD
T50	COG3064	Membrane protein involved in colicin uptake
T50	COG0823	Periplasmic component of the Tol biopolymer transport system
T50	COG0811	Biopolymer transport proteins
T50	COG0848	Biopolymer transport protein
T269	PF05975	Bacterial ABC transporter protein EcsB
T269	COG4473	Predicted ABC-type exoprotein transport system, permease component
T47	PF01544	CorA-like Mg2+ transporter protein
T47	TIGR00383	corA: magnesium and cobalt transport protein CorA
T47	COG0598	Mg2+ and Co2+ transporters
T183	TIGR00637	ModE_repress: ModE molybdate transport repressor domain
T183	COG1119	ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA
T46	PF01925	Sulfite exporter TauE/SafE
T46	PF04143	Sulphur transport
T46	COG2391	Predicted transporter component
T46	COG0730	Predicted permeases
