TCluster	Family	Description
T170	TIGR01189	ccmA: heme ABC exporter, ATP-binding protein CcmA
T170	COG4133	ABC-type transport system involved in cytochrome c biogenesis, ATPase component
T171	TIGR03657	IsdB: heme uptake protein IsdB
T171	TIGR03656	IsdC: heme uptake protein IsdC
T171	TIGR03658	IsdH_HarA: haptoglobin-binding heme uptake protein HarA
T172	PF01925	Sulfite exporter TauE/SafE
T172	COG0730	Predicted permeases
T173	PF01475	Ferric uptake regulator family
T173	COG0735	Fe2+/Zn2+ uptake regulation proteins
T318	TIGR00896	CynX: cyanate transporter
T318	COG2807	Cyanate permease
T49	PF08946	Osmosensory transporter coiled coil
T49	TIGR00887	2A0109: phosphate:H+ symporter
T49	TIGR00883	2A0106: MFS transporter, metabolite:H+ symporter (MHS) family protein
T49	TIGR00898	2A0119: cation transport protein
T49	TIGR00891	2A0112: MFS transporter, sialate:H+ symporter (SHS) family
T49	TIGR00879	SP: MFS transporter, sugar porter (SP) family
T179	PF09621	Type III secretion system regulator (LcrR)
T179	TIGR02572	LcrR: type III secretion system regulator LcrR
T288	PF09474	Type III secretion system YscX (type_III_YscX)
T288	TIGR02502	type_III_YscX: type III secretion protein, YscX family
T42	PF13593	SBF-like CPA transporter family (DUF4137)
T42	PF01758	Sodium Bile acid symporter family
T42	TIGR00841	bass: bile acid transporter
T42	COG0798	Arsenite efflux pump ACR3 and related permeases
T189	PF02386	Cation transport protein
T189	TIGR00933	2a38: potassium uptake protein, TrkH family
T189	TIGR00934	2a38euk: potassium uptake protein, Trk family
T189	COG0168	Trk-type K+ transport systems, membrane components
T188	COG4559	ABC-type hemin transport system, ATPase component
T262	COG4779	ABC-type enterobactin transport system, permease component
T263	PF05025	RbsD / FucU transport protein family
T263	COG1869	ABC-type ribose transport system, auxiliary component
T264	COG4146	Predicted symporter
T265	COG4988	ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components
T266	TIGR01399	hrcV: type III secretion protein, HrcV family
T266	COG4789	Type III secretory pathway, component EscV
T267	TIGR01497	kdpB: K+-transporting ATPase, B subunit
T267	COG2216	High-affinity K+ transport system, ATPase chain B
T268	PF09783	Vacuolar import and degradation protein
T268	COG5073	Vacuolar import and degradation protein
T51	PF01306	LacY proton/sugar symporter
T51	TIGR00902	2A0127: MFS transporter, phenyl propionate permease (PPP) family
T51	TIGR00882	2A0105: oligosaccharide:H+ symporter
T52	PF03364	Polyketide cyclase / dehydrase and lipid transport
T52	COG2867	Oligoketide cyclase/lipid transport protein
T182	PF03616	Sodium/glutamate symporter
T182	TIGR00210	gltS: sodium/glutamate symporter
T182	COG0786	Na+/glutamate symporter
T185	COG0395	ABC-type sugar transport system, permease component
T184	COG0396	ABC-type transport system involved in Fe-S cluster assembly, ATPase component
T187	TIGR03226	PhnU: 2-aminoethylphosphonate ABC transporter, permease protein
T186	TIGR01097	PhnE: phosphonate ABC transporter, permease protein PhnE
T186	COG3639	ABC-type phosphate/phosphonate transport system, permease component
T101	PF12538	DNA transporter
T101	TIGR03928	T7_EssCb_Firm: type VII secretion protein EssC
T100	TIGR01272	gluP: glucose/galactose transporter WARNING
T100	TIGR00885	fucP: L-fucose:H+ symporter permease
T100	COG0738	Fucose permease
T103	PF03814	Potassium-transporting ATPase A subunit
T103	TIGR00680	kdpA: K+-transporting ATPase, A subunit
T103	COG2060	K+-transporting ATPase, A chain
T102	TIGR01277	thiQ: thiamine ABC transporter, ATP-binding protein
T102	COG3840	ABC-type thiamine transport system, ATPase component
T105	TIGR00771	DcuC: transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family
T105	COG3069	C4-dicarboxylate transporter
T104	TIGR00733	TIGR00733: oligopeptide transporter, OPT family
T104	TIGR00728	OPT_sfam: oligopeptide transporter, OPT superfamily
T104	TIGR00727	ISP4_OPT: small oligopeptide transporter, OPT family
T289	PF12424	Plasma membrane calcium transporter ATPase C terminal
T106	PF01514	Secretory protein of YscJ/FliF family
T106	TIGR02544	III_secr_YscJ: type III secretion apparatus lipoprotein, YscJ/HrcJ family
T106	COG1766	Flagellar biosynthesis/type III secretory pathway lipoprotein
T106	COG4669	Type III secretory pathway, lipoprotein EscJ
T109	PF06450	Bacterial Na+/H+ antiporter B (NhaB)
T109	TIGR00774	NhaB: Na+/H+ antiporter NhaB
T109	COG3067	Na+/H+ antiporter
T108	TIGR03496	FliI_clade1: flagellar protein export ATPase FliI
T108	TIGR03498	FliI_clade3: flagellar protein export ATPase FliI
T108	TIGR02546	III_secr_ATP: type III secretion apparatus H+-transporting two-sector ATPase
T108	COG1157	Flagellar biosynthesis/type III secretory pathway ATPase
T41	PF01544	CorA-like Mg2+ transporter protein
T41	TIGR00383	corA: magnesium and cobalt transport protein CorA
T41	COG0598	Mg2+ and Co2+ transporters
T167	COG4139	ABC-type cobalamin transport system, permease component
T58	PF02652	L-lactate permease
T58	TIGR00795	lctP: transporter, lactate permease (LctP) family
T58	COG1620	L-lactate permease
T165	COG1121	ABC-type Mn/Zn transport systems, ATPase component
T164	COG1120	ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components
T163	PF12558	ATP-binding cassette cobalt transporter
T163	TIGR01166	cbiO: cobalt ABC transporter, ATP-binding protein
T162	TIGR01186	proV: glycine betaine/L-proline transport ATP binding subunit
T162	COG1125	ABC-type proline/glycine betaine transport systems, ATPase components
T162	COG4175	ABC-type proline/glycine betaine transport system, ATPase component
T161	COG1127	ABC-type transport system involved in resistance to organic solvents, ATPase component
T160	COG1126	ABC-type polar amino acid transport system, ATPase component
T6	TIGR04406	LPS_export_lptB: LPS export ABC transporter ATP-binding protein
T6	COG1137	ABC-type (unclassified) transport system, ATPase component
T7	COG0577	ABC-type antimicrobial peptide transport system, permease component
T4	TIGR02314	ABC_MetN: D-methionine ABC transporter, ATP-binding protein
T4	COG1135	ABC-type metal ion transport system, ATPase component
T5	COG1134	ABC-type polysaccharide/polyol phosphate transport system, ATPase component
T2	TIGR01188	drrA: daunorubicin resistance ABC transporter, ATP-binding protein
T2	TIGR01288	nodI: nodulation ABC transporter NodI
T2	TIGR00955	3a01204: pigment precursor permease
T2	TIGR01257	rim_protein: rim ABC transporter
T2	TIGR03740	galliderm_ABC: lantibiotic protection ABC transporter, ATP-binding subunit
T3	TIGR01192	chvA: glucan exporter ATP-binding protein
T3	TIGR02203	MsbA_lipidA: lipid A export permease/ATP-binding protein MsbA
T3	TIGR00958	3a01208: antigen peptide transporter 2
T169	PF04143	Sulphur transport
T169	COG2391	Predicted transporter component
T168	COG4136	ABC-type uncharacterized transport system, ATPase component
T181	PF07672	Mycoplasma MFS transporter
T260	TIGR02551	SpaO_YscQ: type III secretion apparatus protein, YscQ/HrcQ family
T260	COG1886	Flagellar motor switch/type III secretory pathway protein
T261	COG4778	ABC-type phosphonate transport system, ATPase component
T256	COG4174	ABC-type uncharacterized transport system, permease component
T319	TIGR00897	2A0118: polyol permease
T306	COG4135	ABC-type uncharacterized transport system, permease component
T273	TIGR00948	2a75: L-lysine exporter
T273	COG1279	Lysine efflux permease
T272	PF03253	Urea transporter
T272	COG4413	Urea transporter
T271	COG0410	ABC-type branched-chain amino acid transport systems, ATPase component
T270	COG0411	ABC-type branched-chain amino acid transport systems, ATPase component
T277	TIGR00792	gph: sugar (Glycoside-Pentoside-Hexuronide) transporter
T276	PF09930	Predicted transporter (DUF2162)
T276	COG2215	ABC-type uncharacterized transport system, permease component
T275	COG1079	Uncharacterized ABC-type transport system, permease component
T274	PF03547	Membrane transport protein
T274	TIGR00946	2a69: auxin efflux carrier
T274	COG0679	Predicted permeases
T65	PF14785	Maltose transport system permease protein MalF P2 domain
T65	COG1175	ABC-type sugar transport systems, permease components
T64	TIGR02294	nickel_nikA: nickel ABC transporter, nickel/metallophore periplasmic binding protein
T64	COG0747	ABC-type dipeptide transport system, periplasmic component
T279	PF02501	Type II secretion system (T2SS), protein I
T279	TIGR01707	gspI: type II secretion system protein I
T278	COG0488	ATPase components of ABC transporters with duplicated ATPase domains
T61	PF02447	GntP family permease
T61	TIGR00791	gntP: transporter, gluconate:H+ symporter (GntP) family
T61	COG2610	H+/gluconate symporter and related permeases
T60	PF09604	F subunit of K+-transporting ATPase (Potass_KdpF)
T60	TIGR02115	potass_kdpF: K+-transporting ATPase, F subunit
T63	TIGR00802	nico: transition metal uptake transporter, Ni2+-Co2+ transporter (NiCoT) family
T63	COG3376	High-affinity nickel permease
T62	PF06965	Na+/H+ antiporter 1
T62	TIGR00773	NhaA: Na+/H+ antiporter NhaA
T62	COG3004	Na+/H+ antiporter
T50	PF03239	Iron permease FTR1 family
T50	COG0672	High-affinity Fe2+/Pb2+ permease
T269	COG0559	Branched-chain amino acid ABC-type transport system, permease components
T47	PF01226	Formate/nitrite transporter
T47	TIGR04060	formate_focA: formate transporter FocA
T47	TIGR00790	fnt: formate/nitrite transporter
T59	PF01769	Divalent cation transporter
T59	TIGR00400	mgtE: magnesium transporter
T59	COG2239	Mg/Co/Ni transporter MgtE (contains CBS domain)
T183	PF02535	ZIP Zinc transporter
T183	TIGR00820	zip: ZIP zinc/iron transport family
T183	COG0428	Predicted divalent heavy-metal cations transporter
T46	PF03334	Na+/H+ antiporter subunit
T46	TIGR01300	CPA3_mnhG_phaG: monovalent cation/proton antiporter, MnhG/PhaG subunit
T46	COG1320	Multisubunit Na+/H+ antiporter, MnhG subunit
